stage,policy,terms,pairs,median_rel_error,rms_error_ratio
init,fp32 sequential,2048,4096,6.797589e-07,7.929885e-07
init,fp32 pairwise,2048,4096,9.216849e-08,9.362000e-08
init,fp32 blocked,2048,4096,1.633339e-07,1.757971e-07
init,fp16 sequential,2048,4096,5.506890e-03,6.650418e-03
init,fp16 pairwise,2048,4096,7.722379e-04,7.684453e-04
init,fp16 blocked,2048,4096,8.300263e-04,8.504323e-04
init,bf16 sequential,2048,4096,4.270711e-02,5.062479e-02
init,bf16 pairwise,2048,4096,5.868333e-03,6.021578e-03
init,bf16 blocked,2048,4096,6.486118e-03,6.654159e-03
init,bf16 cast,2048,4096,2.418389e-03,2.420787e-03
init,e4m3 per-tensor cast,2048,4096,3.807953e-02,3.831713e-02
init,e4m3 mx32 cast,2048,4096,4.355517e-02,4.266820e-02
trained,fp32 sequential,2048,4096,4.699437e-07,6.455240e-07
trained,fp32 pairwise,2048,4096,5.631374e-08,6.086953e-08
trained,fp32 blocked,2048,4096,1.022582e-07,1.272917e-07
trained,fp16 sequential,2048,4096,3.869699e-03,5.173188e-03
trained,fp16 pairwise,2048,4096,4.584625e-04,4.874601e-04
trained,fp16 blocked,2048,4096,3.727906e-04,4.001187e-04
trained,bf16 sequential,2048,4096,2.981804e-02,3.938033e-02
trained,bf16 pairwise,2048,4096,3.654131e-03,4.003949e-03
trained,bf16 blocked,2048,4096,2.941802e-03,3.173612e-03
trained,bf16 cast,2048,4096,7.355926e-04,7.855041e-04
trained,e4m3 per-tensor cast,2048,4096,1.270527e-02,1.323902e-02
trained,e4m3 mx32 cast,2048,4096,1.424086e-02,1.473729e-02
